2025-10-08 17:56:55,401 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_quadCross.uasset
2025-10-08 17:56:55,401 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Seagull\BP_Seagull_GroundToAir.uasset
2025-10-08 17:56:55,401 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_quad_centerRot.uasset
2025-10-08 17:56:55,401 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_rock05.uasset
2025-10-08 17:56:55,402 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Seagull\BP_Seagull_PerchToSky.uasset
2025-10-08 17:56:55,402 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_rock06.uasset
2025-10-08 17:56:55,402 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Seagull\BP_Seagull_StayInAir.uasset
2025-10-08 17:56:55,402 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_rock07.uasset
2025-10-08 17:56:55,402 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Blueprints\Seagull\BP_Seagull_StayOnGround.uasset
2025-10-08 17:56:55,402 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_rock08.uasset
2025-10-08 17:56:55,402 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\ABP_FlyingWalking_Crow.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_rock09_rot.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\ABP_PerchingFlying_Crow.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_sphere.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\ABP_PlayAsCrow.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_sphereHarf.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\AM_IdleMix_Mont.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_sphereThree.uasset
2025-10-08 17:56:55,403 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Crow.uasset
2025-10-08 17:56:55,404 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_sphereUV_lowpoly.uasset
2025-10-08 17:56:55,404 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_FlyDown.uasset
2025-10-08 17:56:55,404 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_sphere_dist.uasset
2025-10-08 17:56:55,404 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_FlyUp.uasset
2025-10-08 17:56:55,404 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_windLine30.uasset
2025-10-08 17:56:55,404 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_FlyUpFast.uasset
2025-10-08 17:56:55,405 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_windLine31.uasset
2025-10-08 17:56:55,405 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Fly_1.uasset
2025-10-08 17:56:55,405 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_windSmokeDist.uasset
2025-10-08 17:56:55,405 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Fly_1_Long.uasset
2025-10-08 17:56:55,405 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Meshes\SM_ky_windSmokeVertRot.uasset
2025-10-08 17:56:55,405 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Fly_2_Long.uasset
2025-10-08 17:56:55,406 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_aura1.uasset
2025-10-08 17:56:55,406 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Fly_2_Long_Fast.uasset
2025-10-08 17:56:55,406 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_aura2.uasset
2025-10-08 17:56:55,406 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Fly_Away_1_Fast.uasset
2025-10-08 17:56:55,407 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_circle1.uasset
2025-10-08 17:56:55,407 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Ground_Bite.uasset
2025-10-08 17:56:55,407 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_circle2.uasset
2025-10-08 17:56:55,407 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Ground_Peck.uasset
2025-10-08 17:56:55,407 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_circle2_loop.uasset
2025-10-08 17:56:55,407 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Hop_1.uasset
2025-10-08 17:56:55,408 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_groundImpact.uasset
2025-10-08 17:56:55,408 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Hop_1_Fast.uasset
2025-10-08 17:56:55,408 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_ice1.uasset
2025-10-08 17:56:55,408 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Hop_Left.uasset
2025-10-08 17:56:55,408 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Hop_Left_Fast.uasset
2025-10-08 17:56:55,408 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_ice2.uasset
2025-10-08 17:56:55,408 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Hop_Right.uasset
2025-10-08 17:56:55,409 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_ice3.uasset
2025-10-08 17:56:55,409 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Hop_Right_Fast.uasset
2025-10-08 17:56:55,409 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_ice4.uasset
2025-10-08 17:56:55,409 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Idle_2.uasset
2025-10-08 17:56:55,409 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_rock1.uasset
2025-10-08 17:56:55,409 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Idle_3.uasset
2025-10-08 17:56:55,409 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_rock2.uasset
2025-10-08 17:56:55,410 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Idle_4.uasset
2025-10-08 17:56:55,410 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_rock3.uasset
2025-10-08 17:56:55,410 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Landing_1.uasset
2025-10-08 17:56:55,410 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_rock4.uasset
2025-10-08 17:56:55,410 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Landing_1_Fast.uasset
2025-10-08 17:56:55,410 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_rock5.uasset
2025-10-08 17:56:55,411 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Landing_1_Mid.uasset
2025-10-08 17:56:55,411 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_shockwave1.uasset
2025-10-08 17:56:55,411 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Perched_Idle_1.uasset
2025-10-08 17:56:55,411 - WARNING - [Thread-ThreadPoolExecutor-0_11] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\AdvancedMagicFX11\Particles\P_ky_shockwave2.uasset
2025-10-08 17:56:55,412 - WARNING - [Thread-ThreadPoolExecutor-0_18] - File not found, skipping: Maelstrom-GameProject\Content\3rdParty\Birds\Crow\Animations\A_Walk_1.uasset
